"ANO";"TIPO_ABOVIROSE";"SUPERINTENDENCIA";"ADS";"MUNICÍPIO";"DATA_EPIDEMIOLOGICA";"SEMANA_EPIDEMIOLOGICA";"DENGUE_GRAVE";"CURA";"OBITO";"OBITO_INVESTIGACAO";"CONFIRMADO_AMBULATORIAL";"CONFIRMADO_CLINICO"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"SAO LUIS DO CURU";"2022-02-12";"6";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"APUIARES";"2022-07-02";"26";"0";"3";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"12ª REGIÃO ACARAÚ";"MARCO";"2022-12-10";"49";"0";"1";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"18ª REGIÃO IGUATU";"IGUATU";"2022-12-17";"50";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"04ª REGIÃO BATURITÉ";"MULUNGU";"2022-04-16";"15";"0";"39";"0";"0";"8";"14"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"CATUNDA";"2022-09-24";"38";"0";"1";"0";"0";"0";"0"
"2022";"Dengue";"SOBRAL";"11ª REGIÃO SOBRAL";"CARIRE";"2022-07-23";"29";"0";"1";"0";"0";"0";"1"
"2022";"Dengue";"FORTALEZA";"06ª REGIÃO DE ITAPIPOCA";"TURURU";"2022-08-20";"33";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"CARIRI";"18ª REGIÃO IGUATU";"QUIXELO";"2022-07-30";"30";"0";"4";"0";"0";"4";"0"
"2022";"Dengue";"LITORAL LESTE/JAGUARIBE";"10ª REGIÃO LIMOEIRO DO NORTE";"POTIRETAMA";"2022-08-27";"34";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"04ª REGIÃO BATURITÉ";"BATURITE";"2022-08-27";"34";"0";"1";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"PARAIPABA";"2022-06-11";"23";"0";"3";"0";"0";"0";"0"
"2022";"Dengue";"SERTÃO CENTRAL";"08ª REGIÃO QUIXADÁ";"MILHA";"2022-03-19";"11";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"LITORAL LESTE/JAGUARIBE";"10ª REGIÃO LIMOEIRO DO NORTE";"QUIXERE";"2022-04-09";"14";"0";"3";"0";"0";"0";"0"
"2022";"Dengue";"SERTÃO CENTRAL";"08ª REGIÃO QUIXADÁ";"PEDRA BRANCA";"2022-01-08";"1";"0";"29";"0";"0";"0";"10"
"2022";"Dengue";"LITORAL LESTE/JAGUARIBE";"07ª REGIÃO ARACATI";"ICAPUI";"2022-10-29";"43";"0";"0";"0";"0";"0";"0"
"2022";"Dengue";"FORTALEZA";"02ª REGIÃO CAUCAIA";"SAO GONCALO DO AMARANTE";"2022-10-01";"39";"0";"3";"0";"0";"0";"0"
